iso_code,year,age,method,contraceptive_prevalence
4,1972-1974,15-44,pill,1
4,1972-1974,15-44,iud,0.4
4,1972-1974,15-44,vaginal_barrier_methods,0.2
4,1972-1974,15-44,other_modern_methods,0
4,2000,12-49,female_sterilization,0.8
4,2000,12-49,male_sterilization,0.1
4,2000,12-49,pill,1.2
4,2000,12-49,injectable,1.3
4,2000,12-49,iud,0.3
4,2000,12-49,other_modern_methods,0
4,2000,12-49,rhythm,0.4
4,2000,12-49,withdrawal,0.5
4,2000,12-49,other_traditional_methods,0.3
4,2003,<50,pill,5
4,2003,<50,injectable,2.2
4,2003,<50,male_condom,0.6
4,2003,<50,other_modern_methods,0.9
4,2005,<50,pill,6
4,2005,<50,injectable,5
4,2005,<50,male_condom,1.1
4,2005,<50,other_modern_methods,0.4
4,2005,<50,withdrawal,0.8
4,2005,<50,other_traditional_methods,0.3
4,2006,10-49,female_sterilization,0.7
4,2006,10-49,pill,8.1
4,2006,10-49,injectable,5.4
4,2006,10-49,iud,1
4,2006,10-49,male_condom,2.2
4,2006,10-49,other_modern_methods,0
4,2006,10-49,rhythm,0.5
4,2006,10-49,withdrawal,0.6
4,2006,10-49,other_traditional_methods,3.2
4,2010,15-49,female_sterilization,1.4
4,2010,15-49,male_sterilization,0
4,2010,15-49,pill,5.3
4,2010,15-49,injectable,6.5
4,2010,15-49,iud,1.3
4,2010,15-49,male_condom,1.7
4,2010,15-49,implant,0.1
4,2010,15-49,rhythm,0.3
4,2010,15-49,withdrawal,1.4
4,2010,15-49,other_traditional_methods,3.9
4,2010-2011,15-49,female_sterilization,0.6
4,2010-2011,15-49,male_sterilization,0.2
4,2010-2011,15-49,pill,5.5
4,2010-2011,15-49,injectable,9.6
4,2010-2011,15-49,iud,1.2
4,2010-2011,15-49,male_condom,1.3
4,2010-2011,15-49,vaginal_barrier_methods,0.1
4,2010-2011,15-49,implant,0.8
4,2010-2011,15-49,other_modern_methods,0.2
4,2010-2011,15-49,rhythm,0
4,2010-2011,15-49,withdrawal,0.5
4,2010-2011,15-49,other_traditional_methods,1.3
8,2000,15-49,female_sterilization,0.9
8,2000,15-49,male_sterilization,0.2
8,2000,15-49,pill,5.6
8,2000,15-49,injectable,0.7
8,2000,15-49,iud,0
8,2000,15-49,male_condom,7.9
8,2000,15-49,vaginal_barrier_methods,0
8,2000,15-49,implant,0
8,2000,15-49,other_modern_methods,0
8,2000,15-49,rhythm,7.5
8,2000,15-49,withdrawal,31.8
8,2000,15-49,other_traditional_methods,2.8
8,2002,15-44,female_sterilization,4
8,2002,15-44,male_sterilization,0
8,2002,15-44,pill,1
8,2002,15-44,injectable,0.4
8,2002,15-44,iud,0.5
8,2002,15-44,male_condom,2.1
8,2002,15-44,vaginal_barrier_methods,0
8,2002,15-44,other_modern_methods,0
8,2002,15-44,rhythm,0
8,2005,15-49,female_sterilization,1.2
8,2005,15-49,male_sterilization,0.1
8,2005,15-49,pill,9.5
8,2005,15-49,injectable,0.8
8,2005,15-49,iud,0
8,2005,15-49,male_condom,10.9
8,2005,15-49,vaginal_barrier_methods,0
8,2005,15-49,implant,0
8,2005,15-49,other_modern_methods,0
8,2005,15-49,rhythm,6.9
8,2005,15-49,withdrawal,28.1
8,2005,15-49,other_traditional_methods,2.8
8,2008-2009,15-49,female_sterilization,3
8,2008-2009,15-49,pill,1.6
8,2008-2009,15-49,injectable,0.7
8,2008-2009,15-49,iud,0.9
8,2008-2009,15-49,male_condom,4
8,2008-2009,15-49,other_modern_methods,0.1
8,2008-2009,15-49,rhythm,0.8
8,2008-2009,15-49,withdrawal,57.9
8,2008-2009,15-49,other_traditional_methods,0.4
12,1986-1987,15-49,pill,26.6
12,1986-1987,15-49,iud,2.1
12,1986-1987,15-49,male_condom,0.5
12,1986-1987,15-49,other_modern_methods,2.1
12,1986-1987,15-49,rhythm,1.4
12,1986-1987,15-49,withdrawal,3.1
12,1992,15-49,female_sterilization,1.1
12,1992,15-49,male_sterilization,0
12,1992,15-49,pill,38.9
12,1992,15-49,injectable,0.1
12,1992,15-49,iud,2.4
12,1992,15-49,male_condom,0.5
12,1992,15-49,vaginal_barrier_methods,0.2
12,1992,15-49,other_modern_methods,0
12,1992,15-49,rhythm,1.7
12,1992,15-49,withdrawal,1.8
12,1992,15-49,other_traditional_methods,4.2
12,1995,15-49,pill,44.2
12,1995,15-49,injectable,0.1
12,1995,15-49,iud,4
12,1995,15-49,male_condom,0.8
12,1995,15-49,other_modern_methods,0.3
12,1995,15-49,rhythm,2.4
12,1995,15-49,withdrawal,0.6
12,1995,15-49,other_traditional_methods,4.5
12,2000,15-49,female_sterilization,0
12,2000,15-49,male_sterilization,0
12,2000,15-49,pill,44.3
12,2000,15-49,injectable,0
12,2000,15-49,iud,4.3
12,2000,15-49,male_condom,1.5
12,2000,15-49,vaginal_barrier_methods,0
12,2000,15-49,implant,0
12,2000,15-49,other_modern_methods,0
12,2000,15-49,rhythm,4.9
12,2000,15-49,withdrawal,3.5
12,2000,15-49,other_traditional_methods,5.5
12,2002,15-49,pill,46.8
12,2002,15-49,iud,3.1
12,2002,15-49,other_modern_methods,1.8
12,2002,15-49,rhythm,2.2
12,2002,15-49,withdrawal,1.7
12,2002,15-49,other_traditional_methods,1.2
12,2006,15-49,female_sterilization,1.1
12,2006,15-49,pill,45.9
12,2006,15-49,iud,2.3
12,2006,15-49,male_condom,2.3
12,2006,15-49,other_modern_methods,0.3
12,2006,15-49,rhythm,4.1
12,2006,15-49,withdrawal,3.3
12,2006,15-49,other_traditional_methods,2
12,2012,15-49,female_sterilization,0.5
12,2012,15-49,male_sterilization,0
12,2012,15-49,pill,43.7
12,2012,15-49,injectable,0.1
12,2012,15-49,iud,2
12,2012,15-49,male_condom,1.5
12,2012,15-49,vaginal_barrier_methods,0.1
12,2012,15-49,implant,0.2
12,2012,15-49,other_modern_methods,0
12,2012,15-49,rhythm,3
12,2012,15-49,withdrawal,3.1
12,2012,15-49,other_traditional_methods,1.8
24,1996,15-49,pill,1.9
24,1996,15-49,injectable,1.2
24,1996,15-49,iud,0.7
24,1996,15-49,male_condom,0.3
24,1996,15-49,vaginal_barrier_methods,0
24,1996,15-49,other_modern_methods,0
24,1996,15-49,rhythm,1.2
24,1996,15-49,withdrawal,0.2
24,1996,15-49,other_traditional_methods,2.7
24,2001,15-49,female_sterilization,0.1
24,2001,15-49,male_sterilization,0
24,2001,15-49,pill,2.2
24,2001,15-49,injectable,1.4
24,2001,15-49,iud,0.4
24,2001,15-49,male_condom,0.3
24,2001,15-49,vaginal_barrier_methods,0.1
24,2001,15-49,implant,0
24,2001,15-49,other_modern_methods,0.1
24,2001,15-49,rhythm,1.2
24,2001,15-49,withdrawal,0.1
24,2001,15-49,other_traditional_methods,0.4
24,2008-2009,12-49,male_condom,4.5
660,2003,15-45,female_sterilization,2.6
660,2003,15-45,male_sterilization,0
660,2003,15-45,pill,17.6
660,2003,15-45,injectable,1.7
660,2003,15-45,iud,2.6
660,2003,15-45,male_condom,15
660,2003,15-45,vaginal_barrier_methods,0.4
660,2003,15-45,implant,0
660,2003,15-45,other_modern_methods,0.9
660,2003,15-45,rhythm,0.9
660,2003,15-45,withdrawal,1.7
660,2003,15-45,other_traditional_methods,0
28,1981,15-44,female_sterilization,10.5
28,1981,15-44,male_sterilization,0
28,1981,15-44,pill,20
28,1981,15-44,injectable,5.4
28,1981,15-44,iud,5
28,1981,15-44,male_condom,2
28,1981,15-44,vaginal_barrier_methods,1.7
28,1981,15-44,other_modern_methods,0
28,1981,15-44,rhythm,1.3
28,1981,15-44,withdrawal,1.1
28,1981,15-44,other_traditional_methods,0
28,1988,15-44,female_sterilization,11.4
28,1988,15-44,male_sterilization,0
28,1988,15-44,pill,26.2
28,1988,15-44,injectable,3.2
28,1988,15-44,iud,1.1
28,1988,15-44,male_condom,5.5
28,1988,15-44,vaginal_barrier_methods,3.2
28,1988,15-44,other_modern_methods,0
28,1988,15-44,rhythm,0.5
28,1988,15-44,withdrawal,1.1
28,1988,15-44,other_traditional_methods,0.4
32,2001,15-49,pill,30.4
32,2001,15-49,iud,9.5
32,2001,15-49,male_condom,22.3
32,2001,15-49,vaginal_barrier_methods,1.6
32,2001,15-49,other_modern_methods,0
32,2001,15-49,rhythm,9.1
32,2001,15-49,other_traditional_methods,4.2
32,2004-2005,15-49,female_sterilization,5.831886215970607
32,2004-2005,15-49,pill,20.368188266236075
32,2004-2005,15-49,injectable,2.4007603310762744
32,2004-2005,15-49,iud,8.422726039642399
32,2004-2005,15-49,male_condom,32.9164349346306
32,2004-2005,15-49,other_modern_methods,0.8
32,2004-2005,15-49,rhythm,4.7746762405003995
32,2004-2005,15-49,withdrawal,3.352114958010896
32,2004-2005,15-49,other_traditional_methods,0.1
32,2011-2012,15-49,female_sterilization,3.2
32,2011-2012,15-49,male_sterilization,0
32,2011-2012,15-49,pill,25.5
32,2011-2012,15-49,injectable,2.4
32,2011-2012,15-49,iud,6.4
32,2011-2012,15-49,male_condom,15.7
32,2011-2012,15-49,vaginal_barrier_methods,0
32,2011-2012,15-49,implant,0
32,2011-2012,15-49,other_modern_methods,0.1
32,2011-2012,15-49,rhythm,0.6
32,2011-2012,15-49,withdrawal,0.3
32,2011-2012,15-49,other_traditional_methods,1.2
51,1991,15-44,pill,1.7
51,1991,15-44,iud,7.8
51,1991,15-44,male_condom,15.7
51,1991,15-44,other_modern_methods,0
51,1991,15-44,withdrawal,17.9
51,1991,15-44,other_traditional_methods,12.9
51,2000,15-49,female_sterilization,2.7
51,2000,15-49,male_sterilization,0
51,2000,15-49,pill,1.1
51,2000,15-49,injectable,0.1
51,2000,15-49,iud,9.4
51,2000,15-49,male_condom,6.9
51,2000,15-49,vaginal_barrier_methods,0.2
51,2000,15-49,implant,0
51,2000,15-49,other_modern_methods,0
51,2000,15-49,rhythm,4.8
51,2000,15-49,withdrawal,31.9
51,2000,15-49,other_traditional_methods,3.4
51,2005,15-49,female_sterilization,0.6
51,2005,15-49,male_sterilization,0
51,2005,15-49,pill,0.8
51,2005,15-49,injectable,0
51,2005,15-49,iud,9.4
51,2005,15-49,male_condom,8.1
51,2005,15-49,vaginal_barrier_methods,0.2
51,2005,15-49,implant,0
51,2005,15-49,other_modern_methods,0
51,2005,15-49,rhythm,3.8
51,2005,15-49,withdrawal,27.7
51,2005,15-49,other_traditional_methods,2.5
51,2010,15-49,female_sterilization,0.2
51,2010,15-49,male_sterilization,0
51,2010,15-49,pill,1.5
51,2010,15-49,injectable,0
51,2010,15-49,iud,9.6
51,2010,15-49,male_condom,14.6
51,2010,15-49,vaginal_barrier_methods,0.1
51,2010,15-49,implant,0
51,2010,15-49,other_modern_methods,0
51,2010,15-49,rhythm,2.8
51,2010,15-49,withdrawal,24.5
51,2010,15-49,other_traditional_methods,1.6
36,1986,20-49,female_sterilization,27.7
36,1986,20-49,male_sterilization,10.4
36,1986,20-49,pill,24
36,1986,20-49,iud,4.9
36,1986,20-49,male_condom,4.4
36,1986,20-49,vaginal_barrier_methods,0.8
36,1986,20-49,other_modern_methods,0
36,1986,20-49,rhythm,2
36,1986,20-49,withdrawal,1.6
36,1986,20-49,other_traditional_methods,0.3
36,1995,18-49,female_sterilization,12.8
36,1995,18-49,male_sterilization,9.7
36,1995,18-49,pill,26.7
36,1995,18-49,iud,2
36,1995,18-49,male_condom,11.7
36,1995,18-49,other_modern_methods,1
36,1995,18-49,rhythm,2
36,1995,18-49,other_traditional_methods,0.7
36,2001-2002,16-59,female_sterilization,15.9
36,2001-2002,16-59,male_sterilization,13.7
36,2001-2002,16-59,pill,23.8
36,2001-2002,16-59,injectable,1.1
36,2001-2002,16-59,iud,0.8
36,2001-2002,16-59,male_condom,15.2
36,2001-2002,16-59,vaginal_barrier_methods,0.8
36,2001-2002,16-59,implant,0.8
36,2001-2002,16-59,other_modern_methods,0.1
36,2001-2002,16-59,rhythm,3.1
36,2001-2002,16-59,withdrawal,3.2
36,2001-2002,16-59,other_traditional_methods,0
36,2005,18-44,female_sterilization,6.6
36,2005,18-44,male_sterilization,9.3
36,2005,18-44,pill,30
36,2005,18-44,injectable,2.1
36,2005,18-44,iud,1.6
36,2005,18-44,male_condom,14.6
36,2005,18-44,implant,2.8
36,2005,18-44,other_modern_methods,1.1
36,2005,18-44,rhythm,1.7
36,2005,18-44,withdrawal,2.5
40,1995-1996,20-49,male_sterilization,0.5
40,1995-1996,20-49,pill,30.8
40,1995-1996,20-49,injectable,0.3
40,1995-1996,20-49,iud,7.3
40,1995-1996,20-49,male_condom,7.2
40,1995-1996,20-49,vaginal_barrier_methods,0.7
40,1995-1996,20-49,other_modern_methods,0
40,1995-1996,20-49,rhythm,2.5
40,1995-1996,20-49,withdrawal,0.7
40,1995-1996,20-49,other_traditional_methods,0.9
40,2008-2009,18-46,female_sterilization,6.3200886058424475
40,2008-2009,18-46,male_sterilization,4.31261248788592
40,2008-2009,18-46,pill,24.034334763948493
40,2008-2009,18-46,injectable,1.931330472103004
40,2008-2009,18-46,iud,15.360653468088051
40,2008-2009,18-46,male_condom,13.996954174165857
40,2008-2009,18-46,vaginal_barrier_methods,0.25612626332548805
40,2008-2009,18-46,implant,0.7545341270940052
40,2008-2009,18-46,other_modern_methods,0.7
40,2008-2009,18-46,rhythm,1.5
40,2008-2009,18-46,withdrawal,0.5330195209746642
31,2000,15-49,female_sterilization,0.5
31,2000,15-49,male_sterilization,0.1
31,2000,15-49,pill,3.3
31,2000,15-49,injectable,0.4
31,2000,15-49,iud,9.3
31,2000,15-49,male_condom,2.1
31,2000,15-49,vaginal_barrier_methods,0.1
31,2000,15-49,implant,0
31,2000,15-49,other_modern_methods,0
31,2000,15-49,rhythm,4.3
31,2000,15-49,withdrawal,30.6
31,2000,15-49,other_traditional_methods,4.4
31,2001,15-44,female_sterilization,1.2
31,2001,15-44,male_sterilization,0
31,2001,15-44,pill,1
31,2001,15-44,injectable,0
31,2001,15-44,iud,6.1
31,2001,15-44,male_condom,3.2
31,2001,15-44,vaginal_barrier_methods,0.3
31,2001,15-44,other_modern_methods,0.1
31,2001,15-44,rhythm,3
31,2001,15-44,withdrawal,40.5
31,2001,15-44,other_traditional_methods,0
31,2006,15-49,female_sterilization,0.4
31,2006,15-49,male_sterilization,0
31,2006,15-49,pill,1.1
31,2006,15-49,injectable,0
31,2006,15-49,iud,9.2
31,2006,15-49,male_condom,2.2
31,2006,15-49,vaginal_barrier_methods,0.2
31,2006,15-49,implant,0
31,2006,15-49,other_modern_methods,0
31,2006,15-49,rhythm,4
31,2006,15-49,withdrawal,32.5
31,2006,15-49,other_traditional_methods,1.4
44,1988,15-44,female_sterilization,16.4
44,1988,15-44,male_sterilization,0
44,1988,15-44,pill,31.5
44,1988,15-44,injectable,4.8
44,1988,15-44,iud,3.7
44,1988,15-44,male_condom,2.3
44,1988,15-44,vaginal_barrier_methods,1.4
44,1988,15-44,other_modern_methods,0
48,1989,15-49,female_sterilization,7.2
48,1989,15-49,pill,13.1
48,1989,15-49,iud,1.6
